type,external_id,stocksense_code,rank,metadata
STORE,store_1,K001,1,Store-Item benchmark store 1
STORE,store_2,K002,2,Store-Item benchmark store 2
STORE,store_3,K003,3,Store-Item benchmark store 3
ITEM,item_1,SP001,1,Store-Item benchmark item 1
ITEM,item_2,SP002,2,Store-Item benchmark item 2
ITEM,item_3,SP003,3,Store-Item benchmark item 3
ITEM,item_4,SP004,4,Store-Item benchmark item 4
ITEM,item_5,SP005,5,Store-Item benchmark item 5
ITEM,item_6,SP006,6,Store-Item benchmark item 6
ITEM,item_7,SP007,7,Store-Item benchmark item 7
ITEM,item_8,SP008,8,Store-Item benchmark item 8
ITEM,item_9,SP009,9,Store-Item benchmark item 9
ITEM,item_10,SP010,10,Store-Item benchmark item 10
ITEM,item_11,SP011,11,Store-Item benchmark item 11
ITEM,item_12,SP012,12,Store-Item benchmark item 12
ITEM,item_13,SP013,13,Store-Item benchmark item 13
ITEM,item_14,SP014,14,Store-Item benchmark item 14
ITEM,item_15,SP015,15,Store-Item benchmark item 15
ITEM,item_16,SP016,16,Store-Item benchmark item 16
ITEM,item_17,SP017,17,Store-Item benchmark item 17
ITEM,item_18,SP018,18,Store-Item benchmark item 18
ITEM,item_19,SP019,19,Store-Item benchmark item 19
ITEM,item_20,SP020,20,Store-Item benchmark item 20
ITEM,item_21,SP021,21,Store-Item benchmark item 21
ITEM,item_22,SP022,22,Store-Item benchmark item 22
ITEM,item_23,SP023,23,Store-Item benchmark item 23
ITEM,item_24,SP024,24,Store-Item benchmark item 24
ITEM,item_25,SP025,25,Store-Item benchmark item 25
ITEM,item_26,SP026,26,Store-Item benchmark item 26
ITEM,item_27,SP027,27,Store-Item benchmark item 27
ITEM,item_28,SP028,28,Store-Item benchmark item 28
ITEM,item_29,SP029,29,Store-Item benchmark item 29
ITEM,item_30,SP030,30,Store-Item benchmark item 30
ITEM,item_31,SP031,31,Store-Item benchmark item 31
ITEM,item_32,SP032,32,Store-Item benchmark item 32
ITEM,item_33,SP033,33,Store-Item benchmark item 33
ITEM,item_34,SP034,34,Store-Item benchmark item 34
ITEM,item_35,SP035,35,Store-Item benchmark item 35
ITEM,item_36,SP036,36,Store-Item benchmark item 36
ITEM,item_37,SP037,37,Store-Item benchmark item 37
ITEM,item_38,SP038,38,Store-Item benchmark item 38
ITEM,item_39,SP039,39,Store-Item benchmark item 39
ITEM,item_40,SP040,40,Store-Item benchmark item 40
ITEM,item_41,SP041,41,Store-Item benchmark item 41
ITEM,item_42,SP042,42,Store-Item benchmark item 42
ITEM,item_43,SP043,43,Store-Item benchmark item 43
ITEM,item_44,SP044,44,Store-Item benchmark item 44
ITEM,item_45,SP045,45,Store-Item benchmark item 45
ITEM,item_46,SP046,46,Store-Item benchmark item 46
ITEM,item_47,SP047,47,Store-Item benchmark item 47
ITEM,item_48,SP048,48,Store-Item benchmark item 48
ITEM,item_49,SP049,49,Store-Item benchmark item 49
ITEM,item_50,SP050,50,Store-Item benchmark item 50
